media,predicted_label,score
Axios,left,0.6083586013317108
Business Insider,center,0.38795223891735076
Buzzfeed News,left,0.7288835084438324
CNBC,center,0.6619801968336105
CNN,left,0.8615492534637451
Economist,left,0.7830346930027008
Fox News,right,0.4005384683609009
Gizmodo,left,0.8920555186271667
Hyperallergic,left,0.7626470363140107
Mashable,left,0.8964981412887574
New Republic,left,0.8201710850000381
New Yorker,left,0.9578105902671814
People,left,0.6198630213737488
Politico,left,0.939953726530075
Refinery 29,left,0.8748065686225891
Reuters,center,0.588699688911438
TechCrunch,left,0.4595623290538788
The Hill,center,0.7843525066971779
The New York Times,left,0.8672858822345734
The Verge,left,0.7335390383005143
TMZ,left,0.9624908971786499
Vice News,left,0.7002118706703186
Vice,left,0.9205363988876343
Vox,left,0.806766961812973
Washington Post,left,0.8450281155109406
Wired,left,0.7638622760772705
